[00:00:00.000007177] (+?.?????????) init: { row = 35, col = 9 }, { }
[00:00:00.001239122] (+0.000000576) epiphanious: { row = 32, col = 11 }, { sum = 120 }
[00:00:00.001264089] (+0.000024967) epiphanious: { row = 35, col = 8 }, { sum = 105 }
[00:00:00.001264629] (+0.000000540) epiphanious: { row = 35, col = 9 }, { sum = 105 }
[00:00:00.001265169] (+0.000000540) epiphanious: { row = 35, col = 10 }, { sum = 105 }
[00:00:00.001265709] (+0.000000540) epiphanious: { row = 35, col = 11 }, { sum = 105 }
[00:00:00.001274258] (+0.000008549) epiphanious: { row = 33, col = 8 }, { sum = 120 }
[00:00:00.001274834] (+0.000000576) epiphanious: { row = 33, col = 9 }, { sum = 120 }
[00:00:00.001275410] (+0.000000576) epiphanious: { row = 33, col = 10 }, { sum = 120 }
[00:00:00.001275986] (+0.000000576) epiphanious: { row = 33, col = 11 }, { sum = 120 }
[00:00:00.001311122] (+0.000035136) epiphanious: { row = 34, col = 8 }, { sum = 120 }
[00:00:00.001311698] (+0.000000576) epiphanious: { row = 34, col = 9 }, { sum = 120 }
[00:00:00.001312274] (+0.000000576) epiphanious: { row = 34, col = 10 }, { sum = 120 }
[00:00:00.001312850] (+0.000000576) epiphanious: { row = 34, col = 11 }, { sum = 120 }
[00:00:00.001314379] (+0.000001529) epiphanious: { row = 32, col = 8 }, { sum = 136 }
[00:00:00.001314991] (+0.000000612) epiphanious: { row = 32, col = 9 }, { sum = 136 }
[00:00:00.001315603] (+0.000000612) epiphanious: { row = 32, col = 10 }, { sum = 136 }
[00:00:00.001316215] (+0.000000612) epiphanious: { row = 32, col = 11 }, { sum = 136 }
[00:00:00.001347986] (+0.000031771) epiphanious: { row = 35, col = 8 }, { sum = 120 }
[00:00:00.001348562] (+0.000000576) epiphanious: { row = 35, col = 9 }, { sum = 120 }
[00:00:00.001349138] (+0.000000576) epiphanious: { row = 35, col = 10 }, { sum = 120 }
[00:00:00.001349714] (+0.000000576) epiphanious: { row = 35, col = 11 }, { sum = 120 }
[00:00:00.001353547] (+0.000003833) epiphanious: { row = 33, col = 8 }, { sum = 136 }
[00:00:00.001354159] (+0.000000612) epiphanious: { row = 33, col = 9 }, { sum = 136 }
[00:00:00.001354771] (+0.000000612) epiphanious: { row = 33, col = 10 }, { sum = 136 }
[00:00:00.001355383] (+0.000000612) epiphanious: { row = 33, col = 11 }, { sum = 136 }
[00:00:00.001391364] (+0.000035981) epiphanious: { row = 32, col = 8 }, { sum = 153 }
